epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.7876,0.76655,2.28061,1.37798,0.88692,0.47735,0.81203,0.63024,0.71571,2.08544,1.64137,0.000237514,0.000237514,0.000237514
2,173.522,0.71448,1.23458,1.30815,0.57457,0.78832,0.76327,0.57935,0.68037,2.20781,1.59091,0.000466099,0.000466099,0.000466099
3,253.504,0.71383,1.01829,1.30409,0.71697,0.84998,0.91028,0.7468,0.70015,1.24409,1.62969,0.000685259,0.000685259,0.000685259
4,340.741,0.69612,0.88788,1.288,0.89065,0.74047,0.91889,0.77177,0.61808,1.32452,1.50471,0.000671588,0.000671588,0.000671588
5,431.14,0.67263,0.80138,1.27067,0.91548,0.77846,0.94377,0.78428,0.60603,1.14684,1.50042,0.000657451,0.000657451,0.000657451
6,514.221,0.65527,0.74625,1.25748,0.89058,0.84322,0.92177,0.76359,0.63703,0.86465,1.49273,0.000643314,0.000643314,0.000643314
7,605.367,0.64951,0.70601,1.2525,0.89134,0.76767,0.93178,0.75796,0.62271,1.36807,1.48666,0.000629177,0.000629177,0.000629177
8,695.985,0.63865,0.67966,1.24079,0.84314,0.90552,0.95937,0.7987,0.58122,0.7329,1.43591,0.00061504,0.00061504,0.00061504
9,786.843,0.6399,0.64558,1.24296,0.95524,0.82897,0.95847,0.80709,0.58544,1.03105,1.42112,0.000600902,0.000600902,0.000600902
10,877.523,0.62887,0.61709,1.23518,0.71902,0.84483,0.88923,0.7286,0.58848,0.9019,1.44949,0.000586765,0.000586765,0.000586765
11,968.021,0.61594,0.59288,1.22499,0.89541,0.83033,0.9489,0.81038,0.58799,0.98302,1.46158,0.000572628,0.000572628,0.000572628
12,1058.11,0.61191,0.58317,1.2245,0.84953,0.88249,0.96531,0.81974,0.58876,0.91916,1.44681,0.000558491,0.000558491,0.000558491
13,1149.32,0.60928,0.57639,1.2202,0.86926,0.86648,0.95899,0.8181,0.57906,0.66445,1.42124,0.000544354,0.000544354,0.000544354
14,1239.84,0.60502,0.55232,1.21577,0.81741,0.86215,0.93736,0.81099,0.55429,0.68381,1.42744,0.000530216,0.000530216,0.000530216
15,1330.19,0.59729,0.55218,1.21456,0.82714,0.91278,0.94353,0.81528,0.56335,0.62025,1.41348,0.000516079,0.000516079,0.000516079
16,1420.3,0.59448,0.54812,1.21456,0.78198,0.91714,0.97483,0.84231,0.55049,0.69725,1.41277,0.000501942,0.000501942,0.000501942
17,1507.86,0.58747,0.53125,1.2081,0.94652,0.93934,0.97482,0.83364,0.55804,0.57276,1.41969,0.000487805,0.000487805,0.000487805
18,1595.32,0.59209,0.5288,1.2079,0.84134,0.8861,0.9588,0.82904,0.53969,0.70049,1.39094,0.000473668,0.000473668,0.000473668
19,1682.71,0.58654,0.51789,1.20702,0.92193,0.88318,0.9274,0.81141,0.5359,0.86821,1.39548,0.00045953,0.00045953,0.00045953
20,1770.24,0.58195,0.51186,1.20422,0.85449,0.93465,0.95815,0.83447,0.53252,0.54923,1.42069,0.000445393,0.000445393,0.000445393
21,1854.75,0.57172,0.49248,1.19704,0.87006,0.92632,0.97421,0.84675,0.53219,0.48639,1.38065,0.000431256,0.000431256,0.000431256
22,1944.82,0.57605,0.49464,1.19765,0.8395,0.92838,0.96475,0.84154,0.53352,0.57585,1.39792,0.000417119,0.000417119,0.000417119
